주성분코드,제품코드
171531BIJ,hydroxocobalamin   5mg(2.5mg/mL)
179731BIJ,ketoprofen   0.1g(50mg/mL)
180033BIJ,ketorolac tromethamine   30mg(30mg/mL)
192132BIJ,methotrexate   10mg(50mg/mL)
192134BIJ,methotrexate   15mg(50mg/mL)
192136BIJ,methotrexate   20mg(50mg/mL)
192144BIJ,methotrexate   25mg(50mg/mL)
198930BIJ,nalbuphine hydrochloride   10mg(10mg/mL)
214031BIJ,piroxicam   20mg(20mg/mL)
214130BIJ,piroxicam potassium (as piroxicam   20mg(20mg/mL))
219401BIJ,propacetamol hydrochloride   1g
242330BIJ,tramadol hydrochloride   50mg(50mg/mL)
242331BIJ,tramadol hydrochloride   0.1g(50mg/mL)
454330BIJ,dexketoprofen trometamol (as dexketoprofen   50mg(25mg/mL))
142930BIJ,diazepam   10mg(5mg/mL)
167930BIJ,haloperidol   5mg(5mg/mL)
168030BIJ,haloperidol decanoate (as haloperidol   50mg(50mg/mL))
185530BIJ,lorazepam   2mg(4mg/mL)
185531BIJ,lorazepam   4mg(4mg/mL)
224205BIJ,risperidone extended release microspheres (as risperidone   25mg)
224206BIJ,risperidone extended release microspheres (as risperidone   37.5mg)
451506BIJ,aripiprazole   0.3g(0.2g/mL)
451507BIJ,aripiprazole   0.4g(0.2g/mL)
586430BIJ,paliperidone palmitate (as paliperidone   25mg(0.1g/mL))
586431BIJ,paliperidone palmitate (as paliperidone   50mg(0.1g/mL))
586432BIJ,paliperidone palmitate (as paliperidone   75mg(0.1g/mL))
586433BIJ,paliperidone palmitate (as paliperidone   0.1g(0.1g/mL))
586434BIJ,paliperidone palmitate (as paliperidone   0.15g(0.1g/mL))
586435BIJ,paliperidone palmitate (as paliperidone   0.175g(0.2g/mL))
586436BIJ,paliperidone palmitate (as paliperidone   0.263g(0.2g/mL))
586437BIJ,paliperidone palmitate (as paliperidone   0.35g(0.2g/mL))
586438BIJ,paliperidone palmitate (as paliperidone   0.525g(0.2g/mL))
106230BIJ,amantadine sulfate   0.2g(0.4mg/mL)
138130BIJ,choline alfoscerate   1g(0.25g/mL)
429131BIJ,glatiramer acetate   40mg(40mg/mL)
558902BIJ,alemtuzumab   12mg
668101BIJ,nusinersen sodium (as nusinersen   12mg(2.4mg/mL))
120131BIJ,bupivacaine hydrochloride   50mg(2.5mg/mL)
120130BIJ,bupivacaine hydrochloride   20mg(5mg/mL)
120132BIJ,bupivacaine hydrochloride   0.1g(5mg/mL)
183933BIJ,lidocaine hydrochloride   0.2g(10mg/mL)
183935BIJ,lidocaine hydrochloride   0.4g(20mg/mL)
183939BIJ,lidocaine hydrochloride   0.1g(20mg/mL)
183936BIJ,lidocaine hydrochloride   0.8g(40mg/mL)
183930BIJ,lidocaine hydrochloride   25mg(5mg/mL)
190431BIJ,mepivacaine hydrochloride   0.4g(20mg/mL)
190430BIJ,mepivacaine hydrochloride   54mg(30mg/mL)
218230BIJ,procaine hydrochloride   0.4g(20mg/mL)
225031BIJ,ropivacaine hydrochloride   40mg(2mg/mL)
225033BIJ,ropivacaine hydrochloride   0.15g(7.5mg/mL)
313800BIJ,bupivacaine hydrochloride   0.1g(5mg/mL)
314000BIJ,epinephrine   18μg(10μg/mL)
314100BIJ,epinephrine   21.25μg(12.5μg/mL)
314300BIJ,epinephrine bitartrate (as epinephrine   18μg(10μg/mL))
314500BIJ,epinephrine bitartrate (as epinephrine   22.5μg(12.5μg/mL))
649800BIJ,epinephrine bitartrate (as epinephrine   9μg(5μg/mL))
430630BIJ,levobupivacaine hydrochloride (as levobupivacine   25mg(2.5mg/mL))
430631BIJ,levobupivacaine hydrochloride (as levobupivacine   50mg(5mg/mL))
430632BIJ,levobupivacaine hydrochloride (as levobupivacine   75mg(7.5mg/mL))
450200BIJ,articaine hydrochloride   68mg(40mg/mL)
513200BIJ,articaine hydrochloride   68mg(40mg/mL)
111630BIJ,atracurium besylate   25mg(10mg/mL)
164530BIJ,gallamine triethiodide   10mg(5mg/mL)
192030BIJ,methocarbamol   0.5g(0.1g/mL)
192031BIJ,methocarbamol   1g(0.1g/mL)
205230BIJ,orphenadrine citrate   60mg(30mg/mL)
217630BIJ,pridinol mesylate   2mg(2mg/mL)
224730BIJ,rocuronium bromide   25mg(10mg/mL)
224731BIJ,rocuronium bromide   50mg(10mg/mL)
234030BIJ,suxamethonium chloride   0.1g(50mg/mL)
234002BIJ,suxamethonium chloride   0.2g
234003BIJ,suxamethonium chloride   0.5g
247401BIJ,vecuronium bromide   10mg
247402BIJ,vecuronium bromide   4mg
359130BIJ,cisatracurium besylate (as cisatracurium   5mg(2mg/mL))
359131BIJ,cisatracurium besylate (as cisatracurium   20mg(2mg/mL))
167030BIJ,glycopyrrolate   0.2mg(0.2mg/mL)
200530BIJ,neostigmine methylsulfate   0.5mg(0.5mg/mL)
221430BIJ,pyridostigmine bromide   5mg(5mg/mL)
111830BIJ,atropine sulfate   0.5mg(0.5mg/mL)
111831BIJ,atropine sulfate   10mg(0.5mg/mL)
133530BIJ,cimetropium bromide   5mg(5mg/mL)
133531BIJ,cimetropium bromide   10mg(5mg/mL)
172330BIJ,hyoscine butylbromide   20mg(20mg/mL)
187630BIJ,magnesium sulfate   2g(0.1g/mL)
187631BIJ,magnesium sulfate   10g(0.5g/mL)
209130BIJ,papaverine hydrochloride   30mg(30mg/mL)
240330BIJ,tiropramide hydrochloride   50mg(16.667mg/mL)
314900BIJ,phloroglucinol   40mg(10mg/mL)
123030BIJ,carbachol   0.15mg(0.1mg/mL)
364501BIJ,verteporfin   15mg
541100BIJ,chondroitin sodium sulfate   40mg(40mg/mL)
530024BIJ,sodium hyaluronate   8.5mg(10mg/mL)
530026BIJ,sodium hyaluronate   9.5mg(10mg/mL)
530030BIJ,sodium hyaluronate   11.9mg(14mg/mL)
530035BIJ,sodium hyaluronate   14mg(14mg/mL)
530032BIJ,sodium hyaluronate   12.75mg(15mg/mL)
530036BIJ,sodium hyaluronate   14.25mg(15mg/mL)
530040BIJ,sodium hyaluronate   16.5mg(15mg/mL)
530043BIJ,sodium hyaluronate   18mg(15mg/mL)
530097BIJ,sodium hyaluronate   9.75mg(15mg/mL)
530098BIJ,sodium hyaluronate   8.25mg(15mg/mL)
530044BIJ,sodium hyaluronate   18mg(18mg/mL)
530034BIJ,sodium hyaluronate   13.8mg(23mg/mL)
131830BIJ,chlorpheniramine maleate   4mg(2mg/mL)
213330BIJ,piprinhydrinate   3mg(1.5mg/mL)
139230BIJ,cyclosporine   0.25g(50mg/mL)
174301BIJ,antilymphocyte immunoglobuline   25mg
234230BIJ,tacrolimus hydrate (as tacrolimus   5mg(5mg/mL))
359401BIJ,basiliximab   20mg
520433BIJ,tocilizumab   0.162g(0.18g/mL)
520430BIJ,tocilizumab   80mg(20mg/mL)
520431BIJ,tocilizumab   0.2g(20mg/mL)
520432BIJ,tocilizumab   0.4g(20mg/mL)
615032BIJ,ustekinumab   0.13g(5mg/mL)
615030BIJ,ustekinumab   45mg(90mg/mL)
615031BIJ,ustekinumab   90mg(90mg/mL)
621230BIJ,golimumab   50mg(0.1g/mL)
621231BIJ,golimumab   0.1g(0.1g/mL)
621232BIJ,golimumab   50mg(12.5mg/mL)
644602BIJ,secukinumab   0.15g(0.15g/mL)
644601BIJ,secukinumab   0.15g
667801BIJ,ixekizumab   80mg(80mg/mL)
670901BIJ,guselkumab   0.1g(0.1g/mL)
388801BIJ,allergen ext. 1종   0.2mL(0.1mL/mL)
107330BIJ,aminophylline   0.25g(25mg/mL)
121330BIJ,caffeine and sodium benzoate   0.22g(0.11g/mL)
144830BIJ,digoxin   0.25mg(0.25mg/mL)
148230BIJ,dobutamine hydrochloride (as dobutamine   0.25g(50mg/mL))
389000BIJ,dextrose   12.5g(50mg/mL)
399600BIJ,dextrose   25g(50mg/mL)
107430BIJ,amiodarone hydrochloride   0.15g(50mg/mL)
154431BIJ,esmolol hydrochloride   2.5g(0.25g/mL)
154430BIJ,esmolol hydrochloride   0.1g(10mg/mL)
101502BIJ,acetazolamide sodium (as acetazolamide   0.5g)
163830BIJ,furosemide   20mg(10mg/mL)
170730BIJ,hydralazine hydrochloride   20mg(20mg/mL)
180230BIJ,labetalol hydrochloride   20mg(5mg/mL)
180231BIJ,labetalol hydrochloride   0.1g(5mg/mL)
201030BIJ,nicardipine hydrochloride   10mg(1mg/mL)
201031BIJ,nicardipine hydrochloride   20mg(1mg/mL)
201033BIJ,nicardipine hydrochloride   5mg(1mg/mL)
229330BIJ,sodium nitroprusside   50mg(25mg/mL)
512430BIJ,treprostinil   20mg(1mg/mL)
512431BIJ,treprostinil   50mg(2.5mg/mL)
512432BIJ,treprostinil   0.1g(5mg/mL)
211930BIJ,phenylephrine hydrochloride   10mg(10mg/mL)
145704BIJ,diltiazem hydrochloride   50mg
178430BIJ,isosorbide dinitrate   10mg(1mg/mL)
178431BIJ,isosorbide dinitrate   50mg(1mg/mL)
201302BIJ,nicorandil   48mg
201930BIJ,nimodipine   10mg(0.2mg/mL)
202632BIJ,diluted nitroglycerin (as nitroglycerin   10mg(1mg/mL))
202633BIJ,diluted nitroglycerin (as nitroglycerin   50mg(1mg/mL))
202635BIJ,diluted nitroglycerin (as nitroglycerin   25mg(1mg/mL))
247630BIJ,verapamil hydrochloride   5mg(2.5mg/mL)
659501BIJ,evolocumab   0.14g(0.14g/mL)
100430BIJ,abciximab   5mg(2mg/mL)
100431BIJ,abciximab   10mg(2mg/mL)
103030BIJ,adenosine   6mg(3mg/mL)
103031BIJ,adenosine   90mg(3mg/mL)
105630BIJ,alprostadil   5μg(5μg/mL)
105631BIJ,alprostadil   10μg(5μg/mL)
105701BIJ,alprostadil α-cyclodextrin   666.7μg
124530BIJ,L-carnitine   1g(0.2g/mL)
134631BIJ,citicoline   0.5g(0.25g/mL)
148731BIJ,dopamine hydrochloride   0.2g(40mg/mL)
148732BIJ,dopamine hydrochloride   0.4g(80mg/mL)
165330BIJ,ginkgo biloba ext.   17.5mg(3.5mg/mL)
172830BIJ,ibuprofen   10mg(5mg/mL)
195730BIJ,milrinone   10mg(1mg/mL)
220630BIJ,protirelin tartrate (as protirelin   0.5mg(0.5mg/mL))
223501BIJ,recombinant human tissue-type plasminogen activator   20mg
223502BIJ,recombinant human tissue-type plasminogen activator   50mg
240230BIJ,tirofiban hydrochloride monohydrate (as tirofiban   12.5mg(0.25mg/mL))
246401BIJ,urokinase   100KI.U
246405BIJ,urokinase   20KI.U
246406BIJ,urokinase   500KI.U
359532BIJ,ozagrel sodium   40mg(8mg/mL)
359632BIJ,argatroban   10mg(0.5mg/mL)
359633BIJ,argatroban   10mg(5mg/mL)
389400BIJ,dextrose   25g(50mg/mL)
389500BIJ,dextrose   12.5g(50mg/mL)
389700BIJ,dextrose   25g(50mg/mL)
429500BIJ,dextrose   10g(50mg/mL)
423930BIJ,ulinastatin   50KI.U(50KI.U/mL)
423931BIJ,ulinastatin   100KI.U(50KI.U/mL)
441430BIJ,phentolamine mesylate   10mg(10mg/mL)
450302BIJ,tenecteplase   40mg(8KU)
627901BIJ,icatibant acetate (as icatibant   30mg(10mg/mL))
199130BIJ,naloxone hydrochloride   0.4mg(0.4mg/mL)
199131BIJ,naloxone hydrochloride   2mg(1mg/mL)
199132BIJ,naloxone hydrochloride   5mg(1mg/mL)
516800BIJ,caffeine anhydrous   10mg (as caffeine citrate 20mg(20mg/mL))
559800BIJ,caffeine anhydrous   30mg (as caffeine citrate 60mg(20mg/mL))
101832BIJ,acetylcysteine   0.3g(0.15g/mL)
101831BIJ,acetylcysteine   0.3g(0.1g/mL)
101833BIJ,acetylcysteine   0.6g(0.1g/mL)
101836BIJ,acetylcysteine   1g(0.1g/mL)
106330BIJ,ambroxol hydrochloride   15mg(7.5mg/mL)
152430BIJ,ephedrine hydrochloride   40mg(40mg/mL)
178330BIJ,isoproterenol hydrochloride   0.2mg(0.2mg/mL)
186302BIJ,lung surfactant   0.21g(35mg/mL)
186305BIJ,lung surfactant   0.105g(35mg/mL)
186330BIJ,lung surfactant   0.12g(80mg/mL)
186304BIJ,lung surfactant   0.12g(30mg/mL)
474501BIJ,sivelestat sodium hydrate   0.1g
133330BIJ,cimetidine   0.2g(0.1g/mL)
157302BIJ,famotidine   20mg
204501BIJ,omeprazole sodium (as omeprazole   40mg)
208801BIJ,pantoprazole sodium (as pantoprazole   40mg)
222830BIJ,ranitidine hydrochloride (as ranitidine   50mg(25mg/mL))
222831BIJ,ranitidine hydrochloride (as ranitidine   0.1g(25mg/mL))
459401BIJ,esomeprazole sodium (as esomeprazole   40mg)
167330BIJ,granisetron hydrochloride (as granisetron   1mg(1mg/mL))
167331BIJ,granisetron hydrochloride (as granisetron   3mg(1mg/mL))
204630BIJ,ondansetron hydrochloride dihydrate (as ondansetron   4mg(2mg/mL))
204631BIJ,ondansetron hydrochloride dihydrate (as ondansetron   8mg(2mg/mL))
222630BIJ,ramosetron hydrochloride   0.3mg(0.15mg/mL)
490030BIJ,palonosetron hydrochloride (as palonosetron   75μg(50μg/mL))
490031BIJ,palonosetron hydrochloride (as palonosetron   0.25mg(50μg/mL))
490032BIJ,palonosetron hydrochloride (as palonosetron   0.4mg(50μg/mL))
616001BIJ,fosaprepitant dimeglumine (as fosaprepitant   0.15g)
142430BIJ,dexpanthenol   0.5g(0.25g/mL)
193730BIJ,metoclopramide hydrochloride   10mg(5mg/mL)
230202BIJ,somatostatin acetate (as somatostatin   3mg)
141430BIJ,desmopressin acetate   4μg(4μg/mL)
236030BIJ,terlipressin acetate   1mg(0.11765mg/mL)
236003BIJ,terlipressin acetate   1mg(0.2mg/mL)
247330BIJ,vasopressin   20Vasopressin unit(20Vasopressin unit/mL)
348432BIJ,somatropin   15I.U(10I.U/mL)
348440BIJ,somatropin   20I.U(11.1I.U/mL)
348434BIJ,somatropin   18.0147I.U(17.49I.U/mL)
348435BIJ,somatropin   30I.U(20I.U/mL)
348439BIJ,somatropin   36I.U(21.3018I.U/mL)
348436BIJ,somatropin   4I.U(4I.U/mL)
348430BIJ,somatropin   4I.U(8I.U/mL)
348431BIJ,somatropin   12I.U(8I.U/mL)
348433BIJ,somatropin   16I.U(8I.U/mL)
348405BIJ,somatropin   16I.U
348407BIJ,somatropin   36I.U
348409BIJ,somatropin   12.96I.U
348415BIJ,somatropin   72I.U
151130BIJ,elcatonin   10I.U(10I.U/mL)
151131BIJ,elcatonin   20I.U(20I.U/mL)
225730BIJ,salcatonin   50I.U(50I.U/mL)
439601BIJ,thyrotropin(TSH) α   1.1mg
487502BIJ,teriparatide   0.6mg(0.25mg/mL)
646301BIJ,teriparatide acetate   60.6μg (as teriparatide   56.5μg)
116530BIJ,betamethasone sodium phosphate (as betamethasone   4mg(4mg/mL))
142030BIJ,dexamethasone palmitate   4mg(4mg/mL)
142230BIJ,dexamethasone disodium phosphate   4.37mg(4.37mg/mL)
142232BIJ,dexamethasone disodium phosphate   5mg(5mg/mL)
142233BIJ,dexamethasone disodium phosphate   20mg(5mg/mL)
152630BIJ,epinephrine hydrochloride (as epinephrine   1mg(1mg/mL))
171201BIJ,hydrocortisone sodium succinate (as hydrocortisone   0.1g)
193601BIJ,methylprednisolone sodium succinate (as methylprednisolone   0.125g)
193603BIJ,methylprednisolone sodium succinate (as methylprednisolone   40mg)
193604BIJ,methylprednisolone sodium succinate (as methylprednisolone   0.5g)
203130BIJ,norepinephrine bitartrate (as norepinephrine   2mg(1mg/mL))
203131BIJ,norepinephrine bitartrate (as norepinephrine   4mg(1mg/mL))
203132BIJ,norepinephrine bitartrate (as norepinephrine   10mg(1mg/mL))
203133BIJ,norepinephrine bitartrate (as norepinephrine   20mg(1mg/mL))
217302BIJ,prednisolone sodium succinate   0.25g
243336BIJ,triamcinolone acetonide   50mg(10mg/mL)
243335BIJ,triamcinolone acetonide   40mg(40mg/mL)
243337BIJ,triamcinolone acetonide   0.2g(40mg/mL)
669401BIJ,epinephrine bitartrate (as epinephrine   0.15mg(1mg/mL))
669402BIJ,epinephrine bitartrate (as epinephrine   0.3mg(1mg/mL))
556301BIJ,cetrorelix acetate (as cetrorelix   0.25mg)
162730BIJ,follitropin-α   300I.U(600I.U/mL)
162731BIJ,follitropin-α   450I.U(600I.U/mL)
162732BIJ,follitropin-α   900I.U(600I.U/mL)
162702BIJ,follitropin-α   75I.U
162830BIJ,follitropin-β   100I.U(200I.U/mL)
162803BIJ,follitropin-β   700I.U(833.3I.U/mL)
162804BIJ,follitropin-β   400I.U(833.3I.U/mL)
162805BIJ,follitropin-β   1.025KI.U(833.3I.U/mL)
169402BIJ,human chorionic gonadotrophin   1KI.U
169404BIJ,human chorionic gonadotrophin   5KI.U
181202BIJ,lanreotide acetate   60mg(0.12g/mL)
181203BIJ,lanreotide acetate   90mg(0.18g/mL)
181204BIJ,lanreotide acetate   0.12g(0.24g/mL)
190201BIJ,menotrophin   150I.U
190202BIJ,menotrophin   75I.U
203730BIJ,octreotide acetate (as octreotide   0.1mg(0.1mg/mL))
203702BIJ,octreotide acetate (as octreotide   10mg)
203703BIJ,octreotide acetate (as octreotide   20mg)
203704BIJ,octreotide acetate (as octreotide   30mg)
246202BIJ,human folicle stimulating hormone   75I.U
455738BIJ,darbepoetin α   60μg(0.12mg/mL)
455739BIJ,darbepoetin α   0.12mg(0.24mg/mL)
455735BIJ,darbepoetin α   20μg(40μg/mL)
455736BIJ,darbepoetin α   30μg(60μg/mL)
455737BIJ,darbepoetin α   40μg(80μg/mL)
465001BIJ,lutropin α   75I.U
500334BIJ,erythropoietin   3KI.U(10KI.U/mL)
500337BIJ,erythropoietin   4KI.U(10KI.U/mL)
500340BIJ,erythropoietin   5KI.U(10KI.U/mL)
500341BIJ,erythropoietin   6KI.U(10KI.U/mL)
500342BIJ,erythropoietin   8KI.U(10KI.U/mL)
500343BIJ,erythropoietin   10KI.U(10KI.U/mL)
500330BIJ,erythropoietin   1KI.U(2KI.U/mL)
500332BIJ,erythropoietin   2KI.U(2KI.U/mL)
500331BIJ,erythropoietin   1KI.U(4KI.U/mL)
500333BIJ,erythropoietin   2KI.U(4KI.U/mL)
500338BIJ,erythropoietin   4KI.U(4KI.U/mL)
500336BIJ,erythropoietin   3KI.U(6KI.U/mL)
500339BIJ,erythropoietin   4KI.U(8KI.U/mL)
504303BIJ,methoxy polyethylene glycol-epoetin β   50μg(0.1667mg/mL)
504301BIJ,methoxy polyethylene glycol-epoetin β   30μg(0.1mg/mL)
504305BIJ,methoxy polyethylene glycol-epoetin β   75μg(0.25mg/mL)
504306BIJ,methoxy polyethylene glycol-epoetin β   0.1mg(0.3333mg/mL)
504307BIJ,methoxy polyethylene glycol-epoetin β   0.12mg(0.4mg/mL)
504308BIJ,methoxy polyethylene glycol-epoetin β   0.15mg(0.5mg/mL)
504309BIJ,methoxy polyethylene glycol-epoetin β   0.2mg(0.6667mg/mL)
504311BIJ,methoxy polyethylene glycol-epoetin β   0.36mg(0.6mg/mL)
504310BIJ,methoxy polyethylene glycol-epoetin β   0.25mg(0.8333mg/mL)
554600BIJ,follitropin-α   150I.U
565601BIJ,ganirelix acetate (as ganirelix   0.25mg(0.5mg/mL))
572531BIJ,follitropin   75I.U(300I.U/mL)
572532BIJ,follitropin   150I.U(300I.U/mL)
572533BIJ,follitropin   225I.U(300I.U/mL)
572534BIJ,follitropin   300I.U(300I.U/mL)
572535BIJ,follitropin   75I.U(500I.U/mL)
572536BIJ,follitropin   150I.U(500I.U/mL)
572537BIJ,follitropin   225I.U(500I.U/mL)
572538BIJ,follitropin   300I.U(500I.U/mL)
621601BIJ,menotrophin HP   600I.U
621603BIJ,menotrophin HP   75I.U
624304BIJ,pasireotide pamoate (as pasireotide   60mg)
624305BIJ,pasireotide pamoate (as pasireotide   40mg)
624306BIJ,pasireotide pamoate (as pasireotide   20mg)
193030BIJ,methylergonovine maleate   0.2mg(0.2mg/mL)
207531BIJ,oxytocin   10I.U(10I.U/mL)
207530BIJ,oxytocin   5I.U(5I.U/mL)
233501BIJ,sulprostone   0.5mg
224330BIJ,ritodrine hydrochloride   50mg(10mg/mL)
473430BIJ,atosiban   6.75mg(7.5mg/mL)
473431BIJ,atosiban   37.5mg(7.5mg/mL)
121630BIJ,calcitriol   1μg(1μg/mL)
430730BIJ,paricalcitol   2μg(2μg/mL)
430731BIJ,paricalcitol   5μg(5μg/mL)
237330BIJ,thiamine hydrochloride   50mg(25mg/mL)
316400BIJ,cyanocobalamin   10μg(5μg/mL)
316600BIJ,biotin   0.5mg(0.25mg/mL)
137630BIJ,cobamamide   1mg(0.5mg/mL)
110431BIJ,ascorbic acid   0.5g(0.25g/mL)
110433BIJ,ascorbic acid   10g(0.5g/mL)
110430BIJ,ascorbic acid   0.1g(50mg/mL)
248830BIJ,vitamin-K1   10mg(10mg/mL)
316900BIJ,ascorbic acid   0.5g(0.1g/mL)
317000BIJ,ascorbic acid   0.1g
122001BIJ,calcium chloride(3%)   0.6g(30mg/mL)
122202BIJ,calcium gluconate   2g(0.1g/mL)
359730BIJ,iron hydoxide sucrose complex (as Fe   0.1g(20mg/mL))
359731BIJ,iron hydoxide sucrose complex (as Fe   0.2g(20mg/mL))
142714BIJ,dextrose(15%)   150g(0.15g/mL)
142712BIJ,dextrose(10%)   50g(0.1g/mL)
142713BIJ,dextrose(10%)   100g(0.1g/mL)
142703BIJ,dextrose(20%)   4g(0.2g/mL)
142715BIJ,dextrose(20%)   60g(0.2g/mL)
142717BIJ,dextrose(20%)   120g(0.2g/mL)
142718BIJ,dextrose(20%)   200g(0.2g/mL)
142719BIJ,dextrose(50%)   50g(0.5g/mL)
142720BIJ,dextrose(50%)   250g(0.5g/mL)
142707BIJ,dextrose(70%)   350g(0.7g/mL)
142706BIJ,dextrose(5%)   2.5g(50mg/mL)
142708BIJ,dextrose(5%)   5g(50mg/mL)
142709BIJ,dextrose(5%)   10g(50mg/mL)
142710BIJ,dextrose(5%)   25g(50mg/mL)
142711BIJ,dextrose(5%)   50g(50mg/mL)
142728BIJ,dextrose(5%)   5g(50mg/mL)
142733BIJ,dextrose(5%)   1g(50mg/mL)
148004BIJ,d-mannitol(15%)   37.5g(0.15g/mL)
148005BIJ,d-mannitol(15%)   75g(0.15g/mL)
148003BIJ,d-mannitol(25%)   25g(0.25g/mL)
148008BIJ,d-mannitol(25%)   62.5g(0.25g/mL)
148002BIJ,d-mannitol(20%)   20g(0.2g/mL)
148006BIJ,d-mannitol(20%)   50g(0.2g/mL)
148001BIJ,d-mannitol(15%)   15g(150mg/mL)
163701BIJ,fructose(5%)   25g(50mg/mL)
230301BIJ,sorbitol(5%)   25g(50mg/mL)
107167BIJ,amino acids(12.8%)   32g(0.128g/mL)
107169BIJ,amino acids(13%)   32.5g(0.13g/mL)
107170BIJ,amino acids(13%)   65g(0.13g/mL)
107157BIJ,amino acids(10%)   10g(0.1g/mL)
107158BIJ,amino acids(10%)   20g(0.1g/mL)
107159BIJ,amino acids(10%)   25g(0.1g/mL)
107160BIJ,amino acids(10%)   50g(0.1g/mL)
107139BIJ,amino acids(5%)   12.5g(50mg/mL)
107140BIJ,amino acids(5%)   25g(50mg/mL)
107141BIJ,amino acids(5.5%)   13.75g(55mg/mL)
107142BIJ,amino acids(6%)   6g(60mg/mL)
107143BIJ,amino acids(6%)   12g(60mg/mL)
107144BIJ,amino acids(6%)   15g(60mg/mL)
107145BIJ,amino acids(6%)   30g(60mg/mL)
107148BIJ,amino acids(7%)   17.5g(70mg/mL)
107151BIJ,amino acids(7.5%)   18.75g(75mg/mL)
107152BIJ,amino acids(8%)   16g(80mg/mL)
107153BIJ,amino acids(8%)   20g(80mg/mL)
107154BIJ,amino acids(8%)   40g(80mg/mL)
107155BIJ,amino acids(8.5%)   21.25g(85mg/mL)
107156BIJ,amino acids(8.5%)   42.5g(85mg/mL)
317500BIJ,aminoacetic acid   1.98g(A액400mL중)
317700BIJ,aminoacetic acid   1.65g(A액400mL중)
416200BIJ,amino acids(8.5%)   85g(A액1000mL중)
418400BIJ,aminoacetic acid(glycine)   2.304g(B액299.52mL중)
418500BIJ,aminoacetic acid(glycine)   3.072g(B액399.36mL중)
477600BIJ,aminoacetic acid(glycine)   2.304g(B액299.52mL중)
477700BIJ,aminoacetic acid(glycine)   3.072g(B액399.36mL중)
480500BIJ,aminoacetic acid(glycine)   1.536g(B액199.68mL중)
497800BIJ,aminoacetic acid(glycine)   2.688g(B액349.44mL중)
422400BIJ,"glycyl-L-glutamin   15.135g(glycyl   5.135g, glutamin   10g)"
464500BIJ,"glycyl-L-glutamin   7.5675g (glycyl   2.5675g, glutamin   5g)"
422500BIJ,aminoacetic acid(glycine)   2.3598g(B액299.592mL중)
427900BIJ,aminoacetic acid(glycine)   3.542g(B액449.68mL중)
428000BIJ,aminoacetic acid(glycine)   4.7219g(B액559.476mL중)
452200BIJ,aminoacetic aicd   2.98g(A액600mL중)
455300BIJ,aminoacetic acid   2.975g(A액500mL중)
472000BIJ,aminoacetic acid   5.95g(A액500mL중)
472200BIJ,aminoacetic aicd   30.5g(A액550mL중)
488200BIJ,aminoacetic acid   1.49g(A액300mL중)
676400BIJ,aminoacetic acid   7g(A액500mL중)
470400BIJ,calcium chloride dihydrate   0.4965g(B액750mL중)
801500BIJ,calcium chloride dihydrate   0.331g(B액500mL중)
472100BIJ,aminoacetic acid   5.35g(A액500mL중)
513400BIJ,aminoacetic acid   5.35g(A액500mL중)
475600BIJ,calcium chloride dihydrate   0.441g(C액 500mL중)
475700BIJ,calcium chloride dihydrate   0.6615g(C액 750mL중)
481000BIJ,alanine   8.73g(C액750mL중)
482300BIJ,alanine   8.49g(C액500mL중)
485900BIJ,aminoacetic acid(glycine)   5.974g(B액 580mL중)
512500BIJ,aminoacetic acid(glycine)   4.12g(B액400mL중)
489931BIJ,N(2)-L-alanyl-L-glutamine   20g(0.2g/mL)
505100BIJ,calcium chloride dihydrate   0.37g(A액500mL중)
505200BIJ,calcium chloride dihydrate   0.555g(A액750mL중)
505300BIJ,calcium chloride dihydrate   0.74g(A액1000mL중)
598900BIJ,calcium chloride dihydrate   0.28g(A액380mL중)
607900BIJ,calcium chloride dihydrate   0.34g(A액456mL중)
608000BIJ,calcium chloride dihydrate   0.44g(A액600mL중)
635400BIJ,calcium chloride dihydrate   0.17g(A액228ml중)
635500BIJ,calcium chloride dihydrate   0.22g(A액300ml중)
636600BIJ,calcium chloride dihydrate   0.12g(A액157.5ml중)
524200BIJ,calcium chloride dihydrate   0.539g(B액729mL중)
524300BIJ,calcium chloride dihydrate   0.684g(B액924mL중)
526700BIJ,calcium chloride dihydrate   0.402g(B액551mL중)
524400BIJ,calcium chloride dihydrate   0.253g(B액342mL중)
524500BIJ,calcium chloride dihydrate   0.338g(B액457mL중)
524600BIJ,calcium chloride dihydrate   0.471g(B액636mL중)
667700BIJ,calcium chloride dihydrate   0.15244g(B액206mL중)
619400BIJ,calcium chloride dihydrate   0.516g(C액400mL중)
619500BIJ,calcium chloride dihydrate   0.774g(C액600mL중)
619600BIJ,calcium chloride dihydrate   1.032g(C액800mL중)
619700BIJ,calcium chloride dihydrate   0.296g(C액400mL중)
619800BIJ,calcium chloride dihydrate   0.444g(C액600mL중)
619900BIJ,calcium chloride dihydrate   0.592g(C액800mL중)
653300BIJ,glucose monohydrate (as glucose   225g)(A액 750mL중)
653600BIJ,glucose monohydrate (as glucose   180g)(A액 500mL중)
318100BIJ,flavin adenine dinucleotide   10mg(10mg/mL)
230503BIJ,soybean oil(10%)   50g(0.1g/mL)
230504BIJ,soybean oil(20%)   50g(0.2g/mL)
318200BIJ,medium chain triglyceride(10%)   10g(0.1g/mL)
318400BIJ,medium chain triglyceride(10%)   25g(0.1g/mL)
441030BIJ,purified olive oil and purified soybean oil(8:2)   20g(0.2g/mL)
